video_id,title,description,channel_id,channel_title,published_at,view_count,like_count,comment_count,duration
L32I6RUneEg,Pengacara Ungkap Modus Timothy Ronald: Ancam Korban yang Ingin Cut Loss #timothyronald #investasi,"Jakarta, https://www.tvOnenews.com - Pengacara Ungkap Modus Timothy Ronald: Ancam Korban yang Ingin Cut Loss

Pelapor kasus dugaan penipuan trading kripto yang menyeret nama influencer Timothy Ronald diperiksa di Polda Metro Jaya hari ini. Pelapor mengaku telah mengalami kerugian Rp 3 miliar.

#timothyronald #KELASCRYPTO #cryptocurrency #investasi 

FN01

Saksikan live streaming tvOne hanya di https://www.tvonenews.com/live
Dan jangan lupa untuk follow akun-Akun Sosial Media tvOnenews untuk mendapatkan beragam informasi terkini dan update dari kami:

Facebook - https://www.facebook.com/tvOnenews
Instagram - https://www.instagram.com/tvOnenews
Twitter - https://twitter.com/tvOnenews
TikTok - https://www.tiktok.com/@tvOnenews
Website - https://tvOnenews.com",UCER4rvDnRBPr_ncYW4UCZjg,tvOneNews ,2026-01-15T13:27:49Z,40476,436,42,PT1M59S
5paK9KdQviI,Kasus Dugaan Penipuan Investasi Kripto Timothy Ronald,"Influencer Adam Deni mengaku menjadi korban dugaan penipuan investasi kripto, oleh influencer keuangan Timothy Ronald. Dia mengaku mengalami kerugian hingga 150 juta rupiah. Untuk membahasnya, influencer Adam Deni beserta dengan Kompol Andaru Rahutomo bergabung dalam diskusi kali ini.

Website: www.cnnindonesia.com
Facebook: https://m.facebook.com/CNNIndonesia/
Instagram: https://instagram.com/cnnindonesiatv
Twitter: https://twitter.com/cnniddaily
TikTok: https://www.tiktok.com/@cnnindonesia
Spotify: CNN Indonesia",UCKII0Ml9S5wneKbHswmUrIQ,CNN Indonesia,2026-01-15T15:00:11Z,112893,783,1218,PT16M47S
vm38zk-SMes,NABINYA CRYPTO⁉️ TIMOTHY RONALD❓MEMBER RUNGKAD RATUSAN M - DIPVKuL DIKATAIN A*JIN9 DIANCAM P3NJ4RA‼️,"Younger & Said korban penipuan kelas Raja crypto “TR” yang awalnya tertarik karena iming-iming profit cepat, materi “eksklusif”, serta klaim mentor berpengalaman. Dalam perjalanannya, mereka mulai menyadari adanya kejanggalan mulai dari transparansi dana, metode pengajaran yang tidak sesuai janji, hingga tekanan psikologis untuk terus menyetor uang.
tak hanya itu kami juga hadirkan , Gema Astronaci pengamat dan praktisi finansial yang fokus pada literasi investasi, manajemen risiko, dan edukasi publik terhadap instrumen keuangan berisiko tinggi seperti crypto. sebagai penyeimbang fakta dan analisis objektif.

===================================

Follow me here :
Twitter : www.twitter.com/sumargodeny
Instagram : www.instagram.com/sumargodenny
Facebook Fanpage : www.fb.com/dsumargo

===================================

For Your Information:
Buat setiap Comment, Likes, Viewers, Share dan bentuk dukungan apapun dari content video ini. Saya sebagai pemilik akun Curhat Bang akan mendonasikan 10% dari AdSense melalui Instagram @DEDIKASIH.ID
===================================",UCapUP1gKtGuhEkyaaHwxlpw,CURHAT BANG Denny Sumargo,2026-01-16T12:46:30Z,1867599,27604,14018,PT1H3M59S
7Qwx_FSk6OU,"Terbongkar! Kronologi Dugaan Penipuan Trading Kripto Timothy Ronald, Korban Tergiur Gaya Hidup Mewah","Kasus dugaan penipuan trading kripto yang menyeret nama Timothy Ronald menjadi sorotan publik. Kronologi perkara ini mencuat setelah sejumlah korban mengaku tergiur janji keuntungan besar dan gaya hidup mewah yang kerap dipamerkan melalui media sosial.

Para korban disebut tertarik bergabung dalam aktivitas trading kripto setelah melihat flexing kekayaan, mulai dari kendaraan mewah hingga klaim cuan fantastis. Namun, alih-alih mendapatkan keuntungan, korban justru mengalami kerugian dan melaporkan dugaan penipuan tersebut ke pihak berwenang.

Berita Selengkapnya baca di: https://inews.id/news

Join membership channel ini dan nikmati berbagai konten eksklusif:
https://www.youtube.com/channel/UCoSkllfpgmFHtbVK835QaQg/join

📰 iNews: Channel Berita Terlengkap, Tercepat, dan Terpercaya di Indonesia
Dapatkan berita terbaru dari seluruh Indonesia dan dunia, mulai dari politik, ekonomi, hukum, kriminal, olahraga, hiburan, hingga peristiwa penting lainnya. Dengan liputan langsung dari lokasi kejadian dan jurnalis profesional, iNews selalu menghadirkan informasi yang cepat, akurat, dan berimbang.

📊 iNews menjadi sumber berita pilihan jutaan masyarakat yang ingin selalu update setiap saat. Jadilah bagian dari komunitas berita terbesar di Indonesia dan nikmati tayangan eksklusif yang tidak Anda temukan di tempat lain.

📌 Jangan lupa
✅ Klik SUBSCRIBE untuk bergabung dengan jutaan penonton setia kami
✅ Aktifkan Lonceng Notifikasi agar tidak ketinggalan berita penting
✅ Bagikan video ini agar lebih banyak orang mendapatkan informasi yang benar

Follow WA Channel https://whatsapp.com/channel/0029Va7scI1LdQekZvLynv1H
Follow our Official TikTok https://www.tiktok.com/@officialinews
Follow our Official Twitter https://twitter.com/officialinews_
Like our Official Facebook https://www.facebook.com/OfficialiNews
Follow our Official Instagram https://www.instagram.com/officialiNews

#TimothyRonald #PenipuanKripto #TradingKripto #DugaanPenipuan #FlexingMedsos #GayaHidupMewah #KriptoIndonesia #KasusKripto #InvestasiBodong #PenipuanOnline #BeritaNasional #BeritaHukum #iNews #BeritaTerkini #BreakingNews #BeritaHariIni #BeritaNasional #BeritaIndonesia #BeritaDunia #TerlengkapTercepatTerpercaya",UCoSkllfpgmFHtbVK835QaQg,Official iNews,2026-01-14T06:43:26Z,36617,247,418,PT14M23S
H3K9tD3u1Ag,"Duduk Perkara Dugaan Penipuan Trading Kripto Timothy Ronald, Rugikan Korban Rp 3 Miliar","Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru

TRIBUNJAKARTA.COM, KEBAYORAN BARU - Influencer Timothy Ronald dilaporkan ke Polda Metro Jaya atas dugaan penipuan investasi kripto oleh pelapor berinisial Y pada Jumat (9/1/2026).

Dalam laporannya, korban mengaku bahwa mulanya ia ditawari trading kripto dan diberikan rekomendasi untuk membeli koin manta dengan iming-iming keuntungan meningkat 300-500 persen.

Sumber: https://jakarta.tribunnews.com/jakarta/428746/timothy-ronald-dipolisikan-kasus-dugaan-penipuan-trading-kripto-korban-ngaku-rugi-rp-3-miliar

Reporter: Annas Furqon Hakim
Videografer: Annas Furqon Hakim
Editor: Annas Furqon Hakim
Uploader: Gus Yogi

Jangan lupa follow akun-akun sosial media TribunJakarta.com untuk mendapatkan beragam informasi terkini dan updatenya:

YouTube: https://www.youtube.com/@tribunjakarta
Facebook: https://www.facebook.com/profile.php?id=100093670066352
Saluran WhatsApp: https://whatsapp.com/channel/0029VaS7FULG8l5BWvKXDa0f
TikTok: https://www.tiktok.com/@tribun.jakarta?lang=en
Instagram: https://www.instagram.com/tribunjakarta/",UCD4mYEJsyoMWsZsXApoJnzw,TribunJakarta Official,2026-01-12T16:28:00Z,59238,1071,562,PT2M15S
Yb_6S-DzfHQ,Pengakuan Pelapor Dugaan Penipuan Investasi Kripto Seret Timothy Ronald: Rugi Rp3 M hingga Diancam!,"JAKARTA, KOMPAS.TV  Pelapor dugaan penipuan investasi kripto yang menjerat influencer Timothy Ronald akhirnya buka suara usai menjalani pemeriksaan di Polda Metro Jaya, Selasa (13/1/2026).

Korban bernama Younger mengaku mengalami kerugian hingga Rp3 miliar dalam kasus tersebut.

Younger menjelaskan, dirinya tergiur keuntungan investasi kripto hingga 500 persen yang diduga diiming-imingi oleh Timothy.

Ia juga mengungkap adanya dugaan ancaman agar tidak melaporkan kasus tersebut ke pihak berwajib.

Sementara itu, kuasa hukum korban menyebut, selain kliennya, terdapat sekitar 300 orang lain yang diduga menjadi korban investasi kripto Timothy Ronald.

#timothyronald #investasikripto #kripto 

Video Editor: Vila Randita

Artikel ini bisa dilihat di :  https://www.kompas.tv/nasional/643733/pengakuan-pelapor-dugaan-penipuan-investasi-kripto-seret-timothy-ronald-rugi-rp3-m-hingga-diancam",UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,2026-01-14T04:05:15Z,110342,721,1121,PT18M53S
8Vbr2XWe17c,"Timothy Ronald Dilaporkan Ke Polisi, Penipuan Investasi?",,UClN_0Z121IM0alQC7bA3LKw,Millenialzkece,2026-01-14T13:30:10Z,179566,4955,400,PT1M1S
EbLJ6qZLkrA,KORBAN TIMOTHY RONALD MULAI BERSATU INGIN TUNTUT PENIPUAN AKADEMI CRYPTO?,"Business inquiries : +6282219111198 (Noval)
Email : KamarJeriOfficial86@gmail.com

Instagram : https://www.instagram.com/jeritaufik08
Jeri Taufik Music : https://www.youtube.com/JeriProduction
Twitter : https://twitter.com/JeriTaufik_


Subscribe What'sGood TV : https://bit.ly/2LT5ZZC
KamarJeri di Facebook : https://www.facebook.com/kamarjeri08

#KamarJeri",UCNm0lbvHp2XyNcEspTKpJhQ,Kamar JERI,2026-01-10T03:54:40Z,1170343,18031,8304,PT35M27S
siTm0_lsl7Y,Kalau Timothy Ronald dipenjara bisnis crypto hancur ‼️- Gema the billionaire.,"Pernyataan ini bikin banyak orang terdiam.
Dalam wawancara eksklusif ini, Gema The Billionaire akhirnya buka suara soal kasus crypto Timothy Ronald yang sedang ramai dibicarakan publik.


jangan lupa follow 
IG https://www.instagram.com/45movement.studio/
IG https://www.instagram.com/nandapersada/
IG https://www.instagram.com/gemathebillionaire/


45Movement present KACAMATA NANDA

Email          : info@45movement.com
No admin   : 08118881945

Host                            : Nanda Persada
Narasumber              : Asst.Prof.Dr.Gema Goeyardi,CAT,CFTe,MFTA,MCFI,ATP
Eksekutif Producer   : 45 Movement
Produser                    : Parade Sirait
Sound Enginer           : Arga Argenta
Videografer                : Eka Rahman
Editor                          : Bayu Kore

#GemaTheBillionaire #TimothyRonald #KasusCrypto #CryptoIndonesia #PodcastIndonesia #CryptoTalk #BisnisDigital#podcast #KacamataNanda #KacamataNandaPodcast #podcastindonesia
#musikkelasik #senimusik #ceritahidup #insight #youtubeindonesia #fyp
#talkshow #expert #musisi #recommended #podcaster #podcastlife
#podcastrecommendation #podcastcommunity #podcastshow #selebriti #gosipartisindonesiahariiniyangterbaru #beritaviral #managementartis #artis #managerartis #televisi #podcast #insight #youtube #indonesia #fyp #celebrity #talkshow #expert #artis #watch #recommended #duniapolitik #podcastindonesia #podcaster #podcastlife #podcastrecommendation #podcastcommunity",UCpBzkLyqcHAqkGy-XM_f0Ag,Nanda Persada,2026-01-15T16:25:00Z,106232,1563,823,PT43M45S
suty-eFK-u4,Timothy Ronald Dilaporkan ke Polisi Dugaan Penipuan Trading Kripto | OneNews Update,"OneNews Update, https://www.tvOnenews.com - Timothy Ronald Dilaporkan ke Polisi Dugaan Penipuan Trading Kripto | OneNews Update 

Influencer keuangan di bidang investasi kripto, Timothy Ronald, dilaporkan ke Polda Metro Jaya atas dugaan penipuan investasi perdagangan mata uang kripto. Kepala Bidang Humas Polda Metro Jaya, Kombes Pol Budi Hermanto, membenarkan adanya laporan polisi yang menyeret nama Timothy Ronald. (RLN02) (NAS01) (Source: Instagram @skyholic888, @timothyronaldd) 

#beritanasional #Timothy Ronald #Kalimasada #Penipuan Kripto #Polda Metro Jaya

NU01
SFY02

Saksikan live streaming tvOne hanya di https://www.tvonenews.com/live
Dan jangan lupa untuk follow akun-Akun Sosial Media tvOnenews untuk mendapatkan beragam informasi terkini dan update dari kami:

Facebook - https://www.facebook.com/tvOnenews
Instagram - https://www.instagram.com/tvOnenews
Twitter - https://twitter.com/tvOnenews
TikTok - https://www.tiktok.com/@tvOnenews
Website - https://tvOnenews.com",UCYfblrhI1-tr6leVANholgQ,tvOnenewscom,2026-01-12T06:13:24Z,109779,1028,1381,PT6M26S
